\P\	WorkOrderID	ProductID	OrderQty	StockedQty	ScrappedQty	StartDate	EndDate	DueDate	ScrapReasonID	ModifiedDate\
V	63	744	23	23	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	64	745	20	20	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	65	747	22	22	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	66	748	10	10	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	67	806	322	322	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	68	807	138	138	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	69	810	120	117	3	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00	11	2011-06-19 00:00:00
V	70	811	224	224	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	71	812	98	98	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	72	813	18	18	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	73	817	120	120	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	74	818	224	224	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	75	819	98	98	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	76	820	18	18	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	77	825	120	120	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	78	826	224	224	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	79	827	98	98	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	80	828	18	18	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	81	894	460	460	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	82	945	460	460	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	83	950	322	322	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	84	951	138	138	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	85	994	224	220	4	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00	14	2011-06-19 00:00:00
V	86	995	98	98	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	87	996	138	138	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	88	3	4600	4600	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	89	324	1148	1148	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	90	327	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	91	328	240	236	4	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00	15	2011-06-13 00:00:00
V	92	329	680	680	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	93	398	460	460	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	94	399	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	95	400	448	448	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	96	401	472	472	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	97	529	460	460	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	98	532	2296	2296	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	99	533	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	100	534	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	101	802	305	305	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	102	803	118	118	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	103	804	151	151	0	2011-06-03 00:00:00	2011-06-19 00:00:00	2011-06-14 00:00:00		2011-06-19 00:00:00
V	104	316	1148	1148	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	105	331	1148	1148	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	106	350	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	107	531	574	574	0	2011-06-03 00:00:00	2011-06-13 00:00:00	2011-06-14 00:00:00		2011-06-13 00:00:00
V	108	749	1	1	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	109	750	1	1	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	110	771	1	1	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	111	778	1	1	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	112	516	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	113	519	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	114	717	1	1	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	115	718	1	1	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	116	745	1	1	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	117	748	1	1	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	118	807	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	119	810	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	120	813	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	121	817	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	122	820	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	123	825	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	124	828	2	2	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	125	894	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	126	945	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	127	951	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	128	996	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	129	3	40	40	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	130	324	8	8	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	131	327	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	132	328	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	133	329	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	134	398	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	135	399	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	136	401	8	8	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	137	529	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	138	532	16	16	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	139	533	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	140	534	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	141	804	4	4	0	2011-06-04 00:00:00	2011-06-15 00:00:00	2011-06-15 00:00:00		2011-06-15 00:00:00
V	142	316	8	8	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	143	331	8	8	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	144	350	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	145	531	4	4	0	2011-06-04 00:00:00	2011-06-14 00:00:00	2011-06-15 00:00:00		2011-06-14 00:00:00
V	146	751	2	2	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	147	752	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	148	753	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	149	764	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	150	517	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	151	519	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	152	719	2	2	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	153	720	1	1	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	154	721	1	1	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	155	727	1	1	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	156	806	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	157	807	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	158	811	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	159	813	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	160	818	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	161	820	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	162	826	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	163	828	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	164	894	5	5	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	165	945	5	5	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	166	950	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	167	951	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	168	994	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	169	996	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	170	3	50	50	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	171	324	10	10	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	172	327	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	173	329	10	10	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	174	398	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	175	399	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	176	400	2	2	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	177	401	8	8	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	178	529	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	179	532	20	20	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	180	533	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	181	534	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	182	802	1	1	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	183	804	4	4	0	2011-06-05 00:00:00	2011-06-23 00:00:00	2011-06-16 00:00:00		2011-06-23 00:00:00
V	184	316	10	10	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	185	331	10	10	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	186	350	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	187	531	5	5	0	2011-06-05 00:00:00	2011-06-15 00:00:00	2011-06-16 00:00:00		2011-06-15 00:00:00
V	188	750	1	1	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	189	753	1	1	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	190	519	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	191	718	1	1	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	192	721	1	1	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	193	807	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	194	813	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	195	820	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	196	828	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	197	894	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	198	945	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	199	951	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	200	996	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	201	3	20	20	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	202	324	4	4	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	203	327	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	204	329	4	4	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	205	398	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	206	399	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	207	401	4	4	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	208	529	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	209	532	8	8	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	210	533	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	211	534	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	212	804	2	2	0	2011-06-06 00:00:00	2011-06-17 00:00:00	2011-06-17 00:00:00		2011-06-17 00:00:00
V	213	316	4	4	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	214	331	4	4	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
V	215	350	2	2	0	2011-06-06 00:00:00	2011-06-16 00:00:00	2011-06-17 00:00:00		2011-06-16 00:00:00
