OpFlag	BusinessEntityID	CreditCardID	ModifiedDate
V	293	17038	2013-07-31 00:00:00
V	295	15369	2011-08-01 00:00:00
V	297	8010	2011-08-01 00:00:00
V	299	5316	2013-07-31 00:00:00
V	301	6653	2011-05-31 00:00:00
V	303	9010	2012-07-31 00:00:00
V	305	8937	2011-05-31 00:00:00
V	307	16124	2012-10-30 00:00:00
V	309	9478	2011-07-01 00:00:00
V	311	17600	2011-08-01 00:00:00
V	313	1970	2013-06-30 00:00:00
V	315	8274	2013-07-31 00:00:00
V	317	13045	2011-05-31 00:00:00
V	319	13601	2011-08-01 00:00:00
V	323	5958	2012-07-31 00:00:00
V	325	10709	2012-05-30 00:00:00
V	327	126	2013-07-31 00:00:00
V	329	6626	2013-05-30 00:00:00
V	331	14963	2012-06-30 00:00:00
V	333	18100	2011-08-01 00:00:00
V	335	12823	2013-03-30 00:00:00
V	337	11434	2013-06-30 00:00:00
V	339	13160	2011-07-01 00:00:00
V	341	3787	2011-10-31 00:00:00
V	343	8979	2011-07-01 00:00:00
V	345	14729	2011-07-01 00:00:00
V	347	6264	2011-07-01 00:00:00
V	349	2273	2013-07-31 00:00:00
V	351	18154	2012-06-30 00:00:00
V	353	18257	2013-07-31 00:00:00
V	355	14184	2011-07-01 00:00:00
V	357	11472	2013-06-30 00:00:00
V	359	10785	2013-06-30 00:00:00
V	361	4215	2011-08-01 00:00:00
V	363	2396	2013-06-30 00:00:00
V	365	4983	2012-05-30 00:00:00
V	367	1660	2011-07-01 00:00:00
V	369	17861	2011-07-01 00:00:00
V	371	15321	2011-07-01 00:00:00
V	373	3756	2013-06-30 00:00:00
V	375	14486	2011-08-01 00:00:00
V	377	16441	2013-06-30 00:00:00
V	379	10338	2013-07-31 00:00:00
V	381	4173	2012-07-31 00:00:00
V	383	18570	2013-07-31 00:00:00
V	385	9102	2012-07-31 00:00:00
V	387	626	2011-10-31 00:00:00
V	389	5409	2012-08-30 00:00:00
V	391	2337	2011-05-31 00:00:00
V	393	5262	2013-07-31 00:00:00
V	397	6272	2012-07-31 00:00:00
V	405	11945	2012-10-30 00:00:00
V	407	14938	2013-07-31 00:00:00
V	409	6306	2013-06-30 00:00:00
V	411	181	2011-07-01 00:00:00
V	413	17315	2012-06-30 00:00:00
V	417	13667	2011-10-01 00:00:00
V	419	12491	2013-06-30 00:00:00
V	421	18295	2012-06-30 00:00:00
V	427	12189	2012-06-30 00:00:00
V	429	16173	2013-02-28 00:00:00
V	431	10057	2012-07-31 00:00:00
V	435	10187	2013-06-30 00:00:00
V	437	5528	2011-07-01 00:00:00
V	439	7083	2011-05-31 00:00:00
V	441	12492	2013-07-31 00:00:00
V	443	7657	2013-07-31 00:00:00
V	445	1977	2013-07-31 00:00:00
V	449	9647	2013-07-31 00:00:00
V	451	1684	2011-10-01 00:00:00
V	453	1163	2011-10-01 00:00:00
V	455	11087	2013-06-30 00:00:00
V	463	3513	2013-07-31 00:00:00
V	465	11282	2011-07-01 00:00:00
V	471	14489	2012-07-31 00:00:00
V	473	9772	2012-06-30 00:00:00
V	475	7777	2013-06-30 00:00:00
V	477	7293	2011-08-01 00:00:00
V	479	14814	2013-07-31 00:00:00
V	481	10832	2013-06-30 00:00:00
V	483	4322	2011-05-31 00:00:00
V	487	18017	2011-05-31 00:00:00
V	489	7527	2013-06-30 00:00:00
V	491	9458	2012-07-31 00:00:00
V	493	13917	2011-07-01 00:00:00
V	495	242	2011-05-31 00:00:00
V	497	14363	2011-07-01 00:00:00
V	501	17699	2013-07-31 00:00:00
V	503	8394	2012-07-31 00:00:00
V	505	3490	2012-07-31 00:00:00
V	507	12316	2013-06-30 00:00:00
V	509	6442	2012-07-31 00:00:00
V	511	319	2011-08-01 00:00:00
V	513	6920	2013-08-30 00:00:00
V	515	12857	2012-07-31 00:00:00
V	517	15232	2011-05-31 00:00:00
V	519	4524	2011-08-01 00:00:00
V	521	1359	2011-07-01 00:00:00
V	523	4789	2011-10-01 00:00:00
V	525	1803	2012-07-31 00:00:00
V	527	972	2011-10-01 00:00:00
V	531	16467	2013-06-30 00:00:00
V	533	1906	2012-05-30 00:00:00
V	535	15842	2011-10-01 00:00:00
V	537	17164	2013-05-30 00:00:00
V	539	1308	2012-06-30 00:00:00
V	541	3392	2013-05-30 00:00:00
V	543	17368	2011-08-01 00:00:00
V	545	8522	2012-06-30 00:00:00
V	547	6340	2012-05-30 00:00:00
V	549	16065	2013-05-30 00:00:00
V	551	19204	2011-05-31 00:00:00
V	553	15195	2013-06-30 00:00:00
V	555	15487	2012-06-30 00:00:00
V	557	4052	2012-05-30 00:00:00
V	559	2741	2012-07-31 00:00:00
V	561	3318	2012-06-30 00:00:00
V	563	11110	2013-05-30 00:00:00
V	565	17281	2013-07-31 00:00:00
V	567	18868	2012-05-30 00:00:00
V	569	16021	2012-05-30 00:00:00
V	573	14612	2011-05-31 00:00:00
V	577	4727	2013-07-31 00:00:00
V	579	15924	2013-06-30 00:00:00
