OpFlag	ProductID	StartDate	EndDate	ListPrice	ModifiedDate
V	707	2011-05-31 00:00:00	2012-05-29 00:00:00	33.6442	2012-05-29 00:00:00
V	707	2012-05-30 00:00:00	2013-05-29 00:00:00	33.6442	2013-05-29 00:00:00
V	707	2013-05-30 00:00:00		34.99	2013-05-09 00:00:00
V	708	2011-05-31 00:00:00	2012-05-29 00:00:00	33.6442	2012-05-29 00:00:00
V	708	2012-05-30 00:00:00	2013-05-29 00:00:00	33.6442	2013-05-29 00:00:00
V	708	2013-05-30 00:00:00		34.99	2013-05-09 00:00:00
V	709	2011-05-31 00:00:00	2012-05-29 00:00:00	9.5	2012-05-29 00:00:00
V	710	2011-05-31 00:00:00	2012-05-29 00:00:00	9.5	2012-05-29 00:00:00
V	711	2011-05-31 00:00:00	2012-05-29 00:00:00	33.6442	2012-05-29 00:00:00
V	711	2012-05-30 00:00:00	2013-05-29 00:00:00	33.6442	2013-05-29 00:00:00
V	711	2013-05-30 00:00:00		34.99	2013-05-09 00:00:00
V	712	2011-05-31 00:00:00	2012-05-29 00:00:00	8.6442	2012-05-29 00:00:00
V	712	2012-05-30 00:00:00	2013-05-29 00:00:00	8.6442	2013-05-29 00:00:00
V	712	2013-05-30 00:00:00		8.99	2013-05-09 00:00:00
V	713	2011-05-31 00:00:00	2012-05-29 00:00:00	48.0673	2012-05-29 00:00:00
V	713	2012-05-30 00:00:00	2013-05-29 00:00:00	48.0673	2013-05-29 00:00:00
V	713	2013-05-30 00:00:00		49.99	2013-05-09 00:00:00
V	714	2011-05-31 00:00:00	2012-05-29 00:00:00	48.0673	2012-05-29 00:00:00
V	714	2012-05-30 00:00:00	2013-05-29 00:00:00	48.0673	2013-05-29 00:00:00
V	714	2013-05-30 00:00:00		49.99	2013-05-09 00:00:00
V	715	2011-05-31 00:00:00	2012-05-29 00:00:00	48.0673	2012-05-29 00:00:00
V	715	2012-05-30 00:00:00	2013-05-29 00:00:00	48.0673	2013-05-29 00:00:00
V	715	2013-05-30 00:00:00		49.99	2013-05-09 00:00:00
V	716	2011-05-31 00:00:00	2012-05-29 00:00:00	48.0673	2012-05-29 00:00:00
V	716	2012-05-30 00:00:00	2013-05-29 00:00:00	48.0673	2013-05-29 00:00:00
V	716	2013-05-30 00:00:00		49.99	2013-05-09 00:00:00
V	717	2011-05-31 00:00:00	2012-05-29 00:00:00	1263.4598	2012-05-29 00:00:00
V	717	2012-05-30 00:00:00	2013-05-29 00:00:00	1301.3636	2013-05-29 00:00:00
V	717	2013-05-30 00:00:00		1431.5	2013-05-09 00:00:00
V	718	2011-05-31 00:00:00	2012-05-29 00:00:00	1263.4598	2012-05-29 00:00:00
V	718	2012-05-30 00:00:00	2013-05-29 00:00:00	1301.3636	2013-05-29 00:00:00
V	718	2013-05-30 00:00:00		1431.5	2013-05-09 00:00:00
V	719	2011-05-31 00:00:00	2012-05-29 00:00:00	1263.4598	2012-05-29 00:00:00
V	719	2012-05-30 00:00:00	2013-05-29 00:00:00	1301.3636	2013-05-29 00:00:00
V	719	2013-05-30 00:00:00		1431.5	2013-05-09 00:00:00
V	720	2011-05-31 00:00:00	2012-05-29 00:00:00	1263.4598	2012-05-29 00:00:00
V	720	2012-05-30 00:00:00	2013-05-29 00:00:00	1301.3636	2013-05-29 00:00:00
V	720	2013-05-30 00:00:00		1431.5	2013-05-09 00:00:00
V	721	2011-05-31 00:00:00	2012-05-29 00:00:00	1263.4598	2012-05-29 00:00:00
V	721	2012-05-30 00:00:00	2013-05-29 00:00:00	1301.3636	2013-05-29 00:00:00
V	721	2013-05-30 00:00:00		1431.5	2013-05-09 00:00:00
V	722	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	722	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	722	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	723	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	723	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	723	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	724	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	724	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	724	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	725	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	725	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	726	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	726	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	727	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	727	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	728	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	728	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	729	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	729	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	730	2011-05-31 00:00:00	2012-05-29 00:00:00	306.5636	2012-05-29 00:00:00
V	730	2012-05-30 00:00:00	2013-05-29 00:00:00	337.22	2013-05-29 00:00:00
V	731	2011-05-31 00:00:00	2012-05-29 00:00:00	594.83	2012-05-29 00:00:00
V	732	2011-05-31 00:00:00	2012-05-29 00:00:00	594.83	2012-05-29 00:00:00
V	733	2011-05-31 00:00:00	2012-05-29 00:00:00	594.83	2012-05-29 00:00:00
V	734	2011-05-31 00:00:00	2012-05-29 00:00:00	594.83	2012-05-29 00:00:00
V	735	2011-05-31 00:00:00	2012-05-29 00:00:00	594.83	2012-05-29 00:00:00
V	736	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	736	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	736	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	737	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	737	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	737	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	738	2011-05-31 00:00:00	2012-05-29 00:00:00	297.6346	2012-05-29 00:00:00
V	738	2012-05-30 00:00:00	2013-05-29 00:00:00	306.5636	2013-05-29 00:00:00
V	738	2013-05-30 00:00:00		337.22	2013-05-09 00:00:00
V	739	2011-05-31 00:00:00	2012-05-29 00:00:00	1204.3248	2012-05-29 00:00:00
V	739	2012-05-30 00:00:00	2013-05-29 00:00:00	1240.4545	2013-05-29 00:00:00
V	739	2013-05-30 00:00:00		1364.5	2013-05-09 00:00:00
V	740	2011-05-31 00:00:00	2012-05-29 00:00:00	1364.5	2012-05-29 00:00:00
V	741	2011-05-31 00:00:00	2012-05-29 00:00:00	1364.5	2012-05-29 00:00:00
V	742	2011-05-31 00:00:00	2012-05-29 00:00:00	1204.3248	2012-05-29 00:00:00
V	742	2012-05-30 00:00:00	2013-05-29 00:00:00	1240.4545	2013-05-29 00:00:00
V	742	2013-05-30 00:00:00		1364.5	2013-05-09 00:00:00
V	743	2011-05-31 00:00:00	2012-05-29 00:00:00	1191.1739	2012-05-29 00:00:00
V	743	2012-05-30 00:00:00	2013-05-29 00:00:00	1226.9091	2013-05-29 00:00:00
V	743	2013-05-30 00:00:00		1349.6	2013-05-09 00:00:00
V	744	2011-05-31 00:00:00	2012-05-29 00:00:00	1349.6	2012-05-29 00:00:00
V	745	2011-05-31 00:00:00	2012-05-29 00:00:00	1349.6	2012-05-29 00:00:00
V	746	2011-05-31 00:00:00	2012-05-29 00:00:00	1191.1739	2012-05-29 00:00:00
V	746	2012-05-30 00:00:00	2013-05-29 00:00:00	1226.9091	2013-05-29 00:00:00
V	746	2013-05-30 00:00:00		1349.6	2013-05-09 00:00:00
V	747	2011-05-31 00:00:00	2012-05-29 00:00:00	1191.1739	2012-05-29 00:00:00
V	747	2012-05-30 00:00:00	2013-05-29 00:00:00	1226.9091	2013-05-29 00:00:00
