OpFlag	ProductID	DocumentNode	ModifiedDate
V	317	6AC0	2013-12-29 13:51:58.103000000
V	318	6AC0	2013-12-29 13:51:58.103000000
V	319	6AC0	2013-12-29 13:51:58.103000000
V	506	7AC0	2013-12-29 13:51:58.103000000
V	506	7B40	2013-12-29 13:51:58.103000000
V	514	7C20	2013-12-29 13:51:58.120000000
V	515	7C20	2013-12-29 13:51:58.120000000
V	516	7C20	2013-12-29 13:51:58.120000000
V	517	7C20	2013-12-29 13:51:58.120000000
V	518	7C20	2013-12-29 13:51:58.120000000
V	519	7C20	2013-12-29 13:51:58.120000000
V	520	7C20	2013-12-29 13:51:58.120000000
V	521	7C20	2013-12-29 13:51:58.120000000
V	522	7C20	2013-12-29 13:51:58.120000000
V	928	6AC0	2013-12-29 13:51:58.103000000
V	929	6AC0	2013-12-29 13:51:58.103000000
V	930	6AC0	2013-12-29 13:51:58.103000000
V	931	6AC0	2013-12-29 13:51:58.103000000
V	932	6AC0	2013-12-29 13:51:58.103000000
V	933	6AC0	2013-12-29 13:51:58.103000000
V	934	6AC0	2013-12-29 13:51:58.103000000
V	935	7BC0	2013-12-29 13:51:58.103000000
V	936	7BC0	2013-12-29 13:51:58.103000000
V	937	7BC0	2013-12-29 13:51:58.103000000
V	938	7BC0	2013-12-29 13:51:58.103000000
V	939	7BC0	2013-12-29 13:51:58.103000000
V	940	7BC0	2013-12-29 13:51:58.103000000
V	941	7BC0	2013-12-29 13:51:58.103000000
V	977	5AC0	2013-12-29 13:51:58.103000000
V	997	5AC0	2013-12-29 13:51:58.103000000
V	998	5AC0	2013-12-29 13:51:58.103000000
V	999	5AC0	2013-12-29 13:51:58.120000000
