OpFlag	ProductID	ProductPhotoID	Primary	ModifiedDate
V	1	1	1	2008-03-31 00:00:00
V	2	1	1	2008-03-31 00:00:00
V	3	1	1	2008-03-31 00:00:00
V	4	1	1	2008-03-31 00:00:00
V	316	1	1	2008-03-31 00:00:00
V	317	1	1	2008-03-31 00:00:00
V	318	1	1	2008-03-31 00:00:00
V	319	1	1	2008-03-31 00:00:00
V	320	1	1	2008-03-31 00:00:00
V	321	1	1	2008-03-31 00:00:00
V	322	1	1	2008-03-31 00:00:00
V	323	1	1	2008-03-31 00:00:00
V	324	1	1	2008-03-31 00:00:00
V	325	1	1	2008-03-31 00:00:00
V	326	1	1	2008-03-31 00:00:00
V	327	1	1	2008-03-31 00:00:00
V	328	1	1	2008-03-31 00:00:00
V	329	1	1	2008-03-31 00:00:00
V	330	1	1	2008-03-31 00:00:00
V	331	1	1	2008-03-31 00:00:00
V	332	160	1	2008-03-31 00:00:00
V	341	1	1	2008-03-31 00:00:00
V	342	1	1	2008-03-31 00:00:00
V	343	1	1	2008-03-31 00:00:00
V	344	1	1	2008-03-31 00:00:00
V	345	1	1	2008-03-31 00:00:00
V	346	1	1	2008-03-31 00:00:00
V	347	1	1	2008-03-31 00:00:00
V	348	1	1	2008-03-31 00:00:00
V	349	1	1	2008-03-31 00:00:00
V	350	1	1	2008-03-31 00:00:00
V	351	1	1	2008-03-31 00:00:00
V	352	1	1	2008-03-31 00:00:00
V	355	1	1	2008-03-31 00:00:00
V	356	1	1	2008-03-31 00:00:00
V	357	1	1	2008-03-31 00:00:00
V	358	1	1	2008-03-31 00:00:00
V	359	1	1	2008-03-31 00:00:00
V	360	1	1	2008-03-31 00:00:00
V	361	1	1	2008-03-31 00:00:00
V	362	1	1	2008-03-31 00:00:00
V	363	1	1	2008-03-31 00:00:00
V	364	1	1	2008-03-31 00:00:00
V	365	1	1	2008-03-31 00:00:00
V	366	1	1	2008-03-31 00:00:00
V	367	1	1	2008-03-31 00:00:00
V	368	1	1	2008-03-31 00:00:00
V	369	1	1	2008-03-31 00:00:00
V	370	1	1	2008-03-31 00:00:00
V	371	1	1	2008-03-31 00:00:00
V	372	1	1	2008-03-31 00:00:00
V	373	1	1	2008-03-31 00:00:00
V	374	1	1	2008-03-31 00:00:00
V	375	1	1	2008-03-31 00:00:00
V	376	1	1	2008-03-31 00:00:00
V	377	1	1	2008-03-31 00:00:00
V	378	1	1	2008-03-31 00:00:00
V	379	1	1	2008-03-31 00:00:00
V	380	1	1	2008-03-31 00:00:00
V	381	1	1	2008-03-31 00:00:00
V	382	1	1	2008-03-31 00:00:00
V	383	1	1	2008-03-31 00:00:00
V	384	1	1	2008-03-31 00:00:00
V	385	1	1	2008-03-31 00:00:00
V	386	1	1	2008-03-31 00:00:00
V	387	1	1	2008-03-31 00:00:00
V	388	1	1	2008-03-31 00:00:00
V	389	1	1	2008-03-31 00:00:00
V	390	1	1	2008-03-31 00:00:00
V	391	1	1	2008-03-31 00:00:00
V	392	1	1	2008-03-31 00:00:00
V	393	1	1	2008-03-31 00:00:00
V	394	1	1	2008-03-31 00:00:00
V	395	1	1	2008-03-31 00:00:00
